Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.97,43.97,43.75,43.94,24.45,1003200
1993-02-01,43.97,44.25,43.97,44.25,24.63,480500
1993-02-02,44.22,44.38,44.13,44.34,24.68,201300
1993-02-03,44.41,44.84,44.38,44.81,24.94,529400
1993-02-04,44.97,45.09,44.47,45.00,25.04,531500
1993-02-05,44.97,45.06,44.72,44.97,25.03,492100
1993-02-08,44.97,45.13,44.91,44.97,25.03,596100
1993-02-09,44.81,44.81,44.56,44.66,24.85,122100
1993-02-10,44.66,44.75,44.53,44.72,24.89,379600
1993-02-11,44.78,45.13,44.78,44.94,25.01,19500
1993-02-12,44.88,44.88,44.59,44.59,24.82,42500
1993-02-16,44.47,44.47,43.41,43.47,24.19,374800
1993-02-17,43.47,43.53,43.28,43.44,24.17,210900
1993-02-18,43.94,43.94,42.81,43.41,24.16,378100
1993-02-19,43.41,43.56,43.34,43.56,24.24,34900
1993-02-22,43.69,43.78,43.56,43.72,24.33,513600
1993-02-23,43.84,43.88,43.47,43.69,24.31,373700
1993-02-24,43.72,44.25,43.72,44.25,24.63,26300
1993-02-25,44.22,44.38,44.13,44.34,24.68,44500
1993-02-26,44.44,44.44,44.19,44.41,24.71,66200
1993-03-01,44.56,44.56,44.22,44.28,24.64,66500
1993-03-02,44.31,44.94,44.25,44.94,25.01,182400
1993-03-03,45.00,45.16,44.94,45.13,25.11,280100
1993-03-04,45.19,45.19,44.88,44.88,24.97,89500
1993-03-05,44.94,45.13,44.72,44.75,24.90,40000
1993-03-08,44.84,45.75,44.84,45.75,25.46,50800
1993-03-09,45.66,45.69,45.50,45.59,25.37,169300
1993-03-10,45.59,45.69,45.41,45.69,25.43,194400
1993-03-11,45.72,45.84,45.50,45.56,25.36,70900
1993-03-12,45.19,45.22,44.81,45.09,25.10,643600
1993-03-15,45.06,45.31,45.06,45.31,25.22,310800
1993-03-16,45.31,45.44,45.31,45.31,25.22,30800
1993-03-17,45.25,45.25,44.97,45.03,25.06,21800
1993-03-18,45.22,45.50,45.22,45.31,25.22,59300
1993-03-19,45.28,45.28,45.03,45.03,25.18,66900
1993-03-22,44.59,44.88,44.56,44.78,25.04,183400
1993-03-23,44.91,44.94,44.81,44.88,25.09,55200
1993-03-24,44.81,45.06,44.59,44.88,25.09,37200
1993-03-25,44.91,45.25,44.84,45.16,25.25,110100
1993-03-26,45.13,45.16,44.88,44.91,25.11,101500
1993-03-29,44.94,45.31,44.94,45.09,25.21,87100
1993-03-30,45.16,45.22,45.09,45.22,25.28,56000
1993-03-31,45.34,45.47,45.19,45.19,25.27,111600
1993-04-01,45.25,45.25,44.94,45.03,25.18,129500
1993-04-02,44.66,44.66,44.09,44.09,24.66,59400
1993-04-05,44.44,44.44,44.19,44.31,24.78,172200
1993-04-06,44.41,44.41,44.06,44.19,24.71,129700
1993-04-07,44.25,44.34,44.16,44.34,24.80,28000
1993-04-08,44.53,44.53,44.09,44.28,24.76,180800
1993-04-12,44.72,44.94,44.66,44.91,25.11,348500
1993-04-13,44.88,45.16,44.84,45.00,25.16,146100
1993-04-14,45.03,45.06,44.91,44.94,25.13,119600
1993-04-15,44.91,45.03,44.75,44.94,25.13,148600
1993-04-16,44.97,45.03,44.88,44.94,25.13,47900
