Date,Open,High,Low,Close,Adj Close,Volume
2002-07-30,81.75,81.90,81.52,81.52,38.02,6100
2002-07-31,81.95,82.80,81.90,82.53,38.49,29400
2002-08-01,82.54,83.02,82.54,83.00,38.71,25000
2002-08-02,83.16,84.10,82.88,83.85,39.11,52800
2002-08-05,84.04,84.44,83.85,84.22,39.28,61100
2002-08-06,83.87,83.90,83.22,83.50,38.95,64900
2002-08-07,83.60,84.14,83.36,83.70,39.04,40300
2002-08-08,83.58,83.77,83.36,83.70,39.04,40900
2002-08-09,84.00,84.88,84.00,84.88,39.59,35900
2002-08-12,85.30,86.70,85.14,85.40,39.83,32100
2002-08-13,85.78,86.47,85.37,86.45,40.32,75400
2002-08-14,87.46,87.90,86.75,86.78,40.48,130000
2002-08-15,86.38,86.50,85.85,86.02,40.12,87100
2002-08-16,86.44,86.52,84.82,85.06,39.67,85000
2002-08-19,85.05,85.34,84.71,85.32,39.80,47300
2002-08-20,85.62,86.29,85.60,86.27,40.24,40800
2002-08-21,85.68,86.10,85.63,85.81,40.02,40000
2002-08-22,85.55,85.55,85.06,85.06,39.67,34400
2002-08-23,85.20,85.95,85.20,85.90,40.07,20100
2002-08-26,85.70,86.21,85.67,85.98,40.10,23900
2002-08-27,85.40,85.68,85.20,85.44,39.85,301800
2002-08-28,86.04,86.18,85.84,85.87,40.05,18100
2002-08-29,86.76,86.86,86.35,86.56,40.37,135700
2002-08-30,86.75,87.13,86.45,87.08,40.62,78100
2002-09-03,87.08,88.04,87.00,88.04,41.24,102100
2002-09-04,88.03,88.30,87.84,88.02,41.23,66300
2002-09-05,88.57,88.65,87.38,88.50,41.46,648400
2002-09-06,87.97,88.19,87.20,87.46,40.97,140000
2002-09-09,87.50,87.83,87.26,87.33,40.91,83800
2002-09-10,87.17,88.00,87.00,87.75,41.11,336000
2002-09-11,87.00,87.30,86.75,87.29,40.89,177700
2002-09-12,87.48,88.14,87.47,87.97,41.21,43400
2002-09-13,88.33,88.94,88.18,88.78,41.59,155100
2002-09-16,89.20,89.22,88.90,88.93,41.66,73000
2002-09-17,88.64,89.32,88.36,89.10,41.74,75400
2002-09-18,89.16,89.56,89.02,89.12,41.75,196600
2002-09-19,89.70,89.77,89.26,89.72,42.03,109900
2002-09-20,89.45,89.52,89.06,89.30,41.83,113500
2002-09-23,90.00,90.24,89.77,90.10,42.21,163200
2002-09-24,90.30,90.94,90.21,90.68,42.48,251900
2002-09-25,90.10,90.36,89.26,89.58,41.96,127200
2002-09-26,89.05,89.53,88.61,89.37,41.86,429000
2002-09-27,89.53,90.04,89.48,90.04,42.18,298200
2002-09-30,90.66,90.90,90.08,90.40,42.35,297800
2002-10-01,89.16,89.30,88.80,88.94,41.82,257500
2002-10-02,89.24,89.48,88.84,89.45,42.06,91000
2002-10-03,89.30,89.51,88.80,89.23,41.96,29900
2002-10-04,88.40,89.72,88.40,89.51,42.09,131000
2002-10-07,89.90,89.96,89.46,89.66,42.16,433800
2002-10-08,89.50,90.52,89.36,89.69,42.17,530900
2002-10-09,90.30,90.38,89.95,90.15,42.39,402900
2002-10-10,90.17,90.17,89.28,89.44,42.06,97100
2002-10-11,89.10,89.22,88.06,88.38,41.56,421800
2002-10-14,88.50,88.55,88.07,88.25,41.50,18300
2002-10-15,87.00,87.30,86.15,86.16,40.51,297100
2002-10-16,86.60,86.60,85.89,86.20,40.53,125200
2002-10-17,85.14,85.56,85.07,85.15,40.04,233400
2002-10-18,85.02,85.39,84.28,85.37,40.14,459100
2002-10-21,85.50,85.60,84.50,84.54,39.75,134900
2002-10-22,84.85,84.85,84.22,84.30,39.64,205000
2002-10-23,84.75,85.20,84.18,84.33,39.65,127800
2002-10-24,84.16,85.25,84.08,85.07,40.00,339600
2002-10-25,85.35,85.56,85.15,85.38,40.15,146100
2002-10-28,85.56,85.64,85.20,85.26,40.09,97800
2002-10-29,85.82,86.89,85.77,86.37,40.61,125000
2002-10-30,86.37,86.68,86.07,86.34,40.60,31900
2002-10-31,86.05,86.86,86.02,86.73,40.78,512700
2002-11-01,86.30,86.93,85.25,85.98,40.61,125100
2002-11-04,85.48,85.75,85.25,85.60,40.43,342500
2002-11-05,85.60,85.60,85.09,85.27,40.28,73800
2002-11-06,85.05,86.13,84.91,85.61,40.44,118500
2002-11-07,87.05,87.73,86.85,87.73,41.44,147900
2002-11-08,88.40,88.65,87.95,88.44,41.77,294700
2002-11-11,88.55,88.92,88.40,88.92,42.00,70000
2002-11-12,89.15,89.15,88.37,88.41,41.76,494300
2002-11-13,88.45,88.69,87.96,88.60,41.85,104700
2002-11-14,87.65,87.65,86.76,86.76,40.98,118000
2002-11-15,86.54,87.23,86.26,87.11,41.15,110700
2002-11-18,87.02,87.63,86.96,87.50,41.33,32200
2002-11-19,87.95,88.23,87.51,87.82,41.48,51800
2002-11-20,88.20,88.22,86.81,86.96,41.07,307400
2002-11-21,86.50,86.50,85.86,86.12,40.68,323200
2002-11-22,86.33,86.39,85.88,86.04,40.64,184800
2002-11-25,86.00,86.38,85.80,85.88,40.56,288200
2002-11-26,86.20,87.02,86.15,86.96,41.07,377800
2002-11-27,86.25,86.33,84.96,85.00,40.15,325600
2002-11-29,85.16,85.63,85.14,85.55,40.41,31700
2002-12-02,84.36,85.40,84.15,85.24,40.45,284900
2002-12-03,85.70,85.70,85.12,85.36,40.50,113800
2002-12-04,85.90,86.00,85.55,85.80,40.71,129000
2002-12-05,85.28,86.28,85.26,86.02,40.82,206400
2002-12-06,87.00,87.09,85.76,86.17,40.89,440500
2002-12-09,86.20,86.85,86.17,86.65,41.12,400300
2002-12-10,86.61,86.93,86.50,86.88,41.22,151600
2002-12-11,87.15,87.65,86.96,87.46,41.50,163800
2002-12-12,87.06,87.60,87.06,87.38,41.46,135800
2002-12-13,87.14,87.16,86.53,86.53,41.06,425800
2002-12-16,86.90,86.90,85.84,85.88,40.75,115700
2002-12-17,86.30,86.35,85.68,85.88,40.75,290600
2002-12-18,86.48,86.69,86.25,86.55,41.07,191000
2002-12-19,86.80,87.49,86.65,87.32,41.43,134400
2002-12-20,87.23,87.56,87.15,87.38,41.46,41900
2002-12-23,87.36,87.40,86.25,87.40,41.47,74200
2002-12-24,88.00,88.08,87.84,87.89,41.70,46600
2002-12-26,87.90,88.06,87.73,88.06,41.78,13500
2002-12-27,88.55,89.03,88.28,89.03,42.24,140200
2002-12-30,88.90,89.24,88.63,89.24,42.34,274900
2002-12-31,88.95,89.33,88.32,88.57,42.24,109400
2003-01-02,87.70,87.90,86.21,86.28,41.15,192100
2003-01-03,86.15,86.54,85.83,86.48,41.24,311200
2003-01-06,86.17,86.29,85.81,86.25,41.13,35600
2003-01-07,86.19,86.75,86.17,86.56,41.28,69800
2003-01-08,86.88,87.14,86.78,86.99,41.48,160100
2003-01-09,86.17,86.17,85.02,85.32,40.69,237500
2003-01-10,85.92,85.92,85.12,85.54,40.79,145200
2003-01-13,85.54,85.87,85.40,85.68,40.86,53300
2003-01-14,86.00,86.28,85.96,85.98,41.00,98900
2003-01-15,86.28,86.70,86.20,86.40,41.20,129600
2003-01-16,86.38,86.60,85.62,86.52,41.26,57900
2003-01-17,87.10,87.24,86.93,86.95,41.46,97700
2003-01-21,86.88,87.45,86.80,87.45,41.70,107500
2003-01-22,87.68,87.90,87.52,87.88,41.91,107100
2003-01-23,87.32,87.70,87.30,87.45,41.70,110700
2003-01-24,87.74,88.44,87.74,87.97,41.95,285300
2003-01-27,87.90,88.04,87.50,87.65,41.80,150500
2003-01-28,87.65,87.78,87.10,87.65,41.80,454700
2003-01-29,87.83,87.88,86.98,87.17,41.57,221400
2003-01-30,87.20,87.90,87.10,87.82,41.88,108600
2003-01-31,87.90,88.21,87.54,88.06,41.99,182300
2003-02-03,87.67,87.91,87.31,87.88,42.06,55200
2003-02-04,88.37,88.40,88.11,88.27,42.24,56900
2003-02-05,88.23,88.70,87.43,87.51,41.88,223300
2003-02-06,87.84,88.26,87.79,88.22,42.22,120900
2003-02-07,87.77,88.52,87.63,88.42,42.31,247200
2003-02-10,88.12,88.40,87.69,87.80,42.02,76600
2003-02-11,87.60,87.91,87.43,87.78,42.01,259100
2003-02-12,87.80,88.13,87.67,88.09,42.16,121300
2003-02-13,88.27,89.18,88.17,88.57,42.39,440200
2003-02-14,88.30,88.37,87.61,87.81,42.02,829700
2003-02-18,87.56,87.98,87.34,87.92,42.07,213200
2003-02-19,88.39,88.70,88.25,88.52,42.36,62100
2003-02-20,88.34,88.90,88.34,88.82,42.51,486700
2003-02-21,88.56,88.72,88.21,88.30,42.26,250400
2003-02-24,88.88,88.90,88.62,88.72,42.46,168200
2003-02-25,89.40,89.65,89.00,89.13,42.65,358500
2003-02-26,89.38,89.75,89.15,89.75,42.95,334000
2003-02-27,89.46,89.99,89.31,89.90,43.02,695700
2003-02-28,89.68,90.54,89.58,90.47,43.29,213100
2003-03-03,90.00,90.45,89.91,90.24,43.35,204100
2003-03-04,90.13,90.45,90.02,90.30,43.38,83100
2003-03-05,90.62,90.63,90.04,90.60,43.52,126000
2003-03-06,90.55,90.68,90.06,90.25,43.35,166000
2003-03-07,90.72,90.79,90.05,90.56,43.50,263800
2003-03-10,90.81,91.03,90.68,91.03,43.73,147200
2003-03-11,90.99,91.16,90.73,90.87,43.65,82800
2003-03-12,90.92,91.36,90.88,91.20,43.81,454800
2003-03-13,90.15,90.39,89.52,89.52,43.00,830200
2003-03-14,89.90,90.12,89.62,89.96,43.21,590900
2003-03-17,90.52,90.52,88.86,88.88,42.69,724400
2003-03-18,88.96,89.20,88.01,88.04,42.29,415200
2003-03-19,88.04,88.07,87.33,87.39,41.98,398400
2003-03-20,87.82,87.95,86.76,87.25,41.91,206700
2003-03-21,86.92,87.05,86.05,86.05,41.34,843400
2003-03-24,87.10,87.60,86.85,87.41,41.99,373800
2003-03-25,87.65,87.82,86.90,87.31,41.94,606400
2003-03-26,87.25,87.65,87.25,87.49,42.03,309500
2003-03-27,87.75,87.87,87.33,87.55,42.06,191600
2003-03-28,87.92,88.08,87.72,87.75,42.15,253400
2003-03-31,88.30,88.93,88.30,88.90,42.70,643800
2003-04-01,88.40,88.79,87.90,88.27,42.58,289800
2003-04-02,87.65,87.70,87.28,87.35,42.14,312200
2003-04-03,87.25,87.58,87.14,87.30,42.11,245600
2003-04-04,87.06,87.30,86.88,87.05,41.99,184900
2003-04-07,86.22,86.86,85.92,86.85,41.90,485400
2003-04-08,87.05,87.59,86.99,87.55,42.24,194700
2003-04-09,87.40,87.86,87.17,87.81,42.36,102400
2003-04-10,87.75,87.85,87.35,87.40,42.16,53300
2003-04-11,86.82,87.32,86.59,87.26,42.10,450000
2003-04-14,87.10,87.11,86.71,87.02,41.98,207100
2003-04-15,87.33,87.53,87.04,87.49,42.21,128500
2003-04-16,87.53,87.90,87.47,87.85,42.38,97700
2003-04-17,88.24,88.40,87.80,87.99,42.45,106200
2003-04-21,87.48,87.83,87.26,87.80,42.36,148000
2003-04-22,88.15,88.26,87.62,87.75,42.33,299900
2003-04-23,87.78,88.01,87.60,87.93,42.42,42700
2003-04-24,88.40,88.99,88.40,88.72,42.80,199000
2003-04-25,88.75,89.10,88.68,88.92,42.90,529700
2003-04-28,89.09,89.09,88.78,88.78,42.83,80500
2003-04-29,88.53,88.77,88.32,88.63,42.76,177500
2003-04-30,88.79,89.52,88.73,89.45,43.15,293400
2003-05-01,89.20,89.60,88.80,89.02,43.17,231200
2003-05-02,89.06,89.07,88.27,88.32,42.83,231500
2003-05-05,88.31,88.87,88.20,88.79,43.06,77700
2003-05-06,88.84,89.40,88.52,89.23,43.27,260600
2003-05-07,90.00,90.33,89.82,90.27,43.78,306900
2003-05-08,90.60,90.90,90.28,90.49,43.89,437400
